accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0000035527-09-000046,2009-05-26,2009-05-22,2009-05-26T13:36:55.000Z,,4,,,,5487,0,0,xslF345X03/edgar.xml,PRIMARY DOCUMENT
0001193125-09-115812,2009-05-20,,2009-05-20T16:48:34.000Z,34,FWP,333-141560,09843102,,54385,0,0,dfwp.htm,FREE WRITING PROSPECTUS
0001193125-09-115805,2009-05-20,2009-05-20,2009-05-20T16:46:35.000Z,34,8-K,001-33653,09843086,"8.01,9.01",229922,0,0,d8k.htm,CURRENT REPORT
0001133796-09-000093,2009-05-20,,2009-05-20T16:33:15.000Z,34,SC TO-I,005-18309,09842945,,3303958,0,0,k150249_schtoi.htm,
0001193125-09-115762,2009-05-20,,2009-05-20T16:27:01.000Z,33,424B5,333-141560,09842856,,240838,0,0,d424b5.htm,FINAL PROSPECTUS SUPPLEMENT
0000950152-09-005286,2009-05-15,2009-03-31,2009-05-15T13:38:55.000Z,34,13F-HR,028-03158,09831253,,1071847,0,0,l36511ae13fvhr.txt,FORM 13F-HR
0001193125-09-108686,2009-05-12,,2009-05-12T17:17:51.000Z,,CORRESP,,,,57734,0,0,filename1.htm,
0001193125-09-107267,2009-05-11,2009-03-31,2009-05-11T16:50:25.000Z,34,10-Q,001-33653,09815756,,1874852,0,0,d10q.htm,QUARTERLY REPORT
0001193125-09-103544,2009-05-07,2009-05-07,2009-05-07T17:04:03.000Z,34,8-K,001-33653,09806388,"7.01,8.01,9.01",452157,0,0,d8k.htm,CURRENT REPORT
0000035527-09-000045,2009-05-04,2009-04-30,2009-05-04T17:10:36.000Z,,4,,,,4988,0,0,xslF345X03/edgar.xml,PRIMARY DOCUMENT
0000035527-09-000044,2009-05-04,2009-04-30,2009-05-04T17:10:00.000Z,,4,,,,6255,0,0,xslF345X03/edgar.xml,PRIMARY DOCUMENT
0000035527-09-000043,2009-05-04,2009-04-30,2009-05-04T17:09:15.000Z,,4,,,,5815,0,0,xslF345X03/edgar.xml,PRIMARY DOCUMENT
0000035527-09-000042,2009-05-04,2009-04-30,2009-05-04T17:08:26.000Z,,4,,,,5563,0,0,xslF345X03/edgar.xml,PRIMARY DOCUMENT
0000035527-09-000041,2009-05-04,2009-04-30,2009-05-04T17:07:35.000Z,,4,,,,5141,0,0,xslF345X03/edgar.xml,PRIMARY DOCUMENT
0000035527-09-000040,2009-05-04,2009-04-30,2009-05-04T17:06:45.000Z,,4,,,,5578,0,0,xslF345X03/edgar.xml,PRIMARY DOCUMENT
0000035527-09-000039,2009-05-04,2009-04-30,2009-05-04T17:06:00.000Z,,4,,,,5701,0,0,xslF345X03/edgar.xml,PRIMARY DOCUMENT
0000035527-09-000038,2009-05-04,2009-04-30,2009-05-04T17:05:05.000Z,,4,,,,5141,0,0,xslF345X03/edgar.xml,PRIMARY DOCUMENT
0000035527-09-000037,2009-05-04,2009-04-30,2009-05-04T17:04:24.000Z,,4,,,,4987,0,0,xslF345X03/edgar.xml,PRIMARY DOCUMENT
0000035527-09-000036,2009-05-04,2009-04-30,2009-05-04T17:03:44.000Z,,4,,,,6239,0,0,xslF345X03/edgar.xml,PRIMARY DOCUMENT
0000035527-09-000035,2009-05-04,2009-04-30,2009-05-04T17:00:21.000Z,,4,,,,4868,0,0,xslF345X03/edgar.xml,PRIMARY DOCUMENT
0000000000-09-022919,2009-04-30,,2009-04-30T10:57:12.000Z,,UPLOAD,,,,72529,0,0,filename1.pdf,
0001193125-09-086658,2009-04-24,,2009-04-24T12:25:28.000Z,33,S-8,333-158742,09768691,,84619,0,0,ds8.htm,FORM S-8 REGISTRATION STATEMENT
0000035527-09-000033,2009-04-23,2009-04-21,2009-04-23T17:23:33.000Z,,4,,,,7554,0,0,xslF345X03/edgar.xml,PRIMARY DOCUMENT
0000035527-09-000032,2009-04-23,2009-04-21,2009-04-23T17:22:58.000Z,,4,,,,8272,0,0,xslF345X03/edgar.xml,PRIMARY DOCUMENT
0000035527-09-000031,2009-04-23,2009-04-21,2009-04-23T17:22:20.000Z,,4,,,,8090,0,0,xslF345X03/edgar.xml,PRIMARY DOCUMENT
0000035527-09-000030,2009-04-23,2009-04-21,2009-04-23T17:21:38.000Z,,4,,,,8129,0,0,xslF345X03/edgar.xml,PRIMARY DOCUMENT
0000035527-09-000029,2009-04-23,2009-04-21,2009-04-23T17:20:58.000Z,,4,,,,8350,0,0,xslF345X03/edgar.xml,PRIMARY DOCUMENT
0000035527-09-000028,2009-04-23,2009-04-21,2009-04-23T17:20:04.000Z,,4,,,,8254,0,0,xslF345X03/edgar.xml,PRIMARY DOCUMENT
0000035527-09-000027,2009-04-23,2009-04-21,2009-04-23T17:19:13.000Z,,4,,,,8149,0,0,xslF345X03/edgar.xml,PRIMARY DOCUMENT
0000035527-09-000026,2009-04-23,2009-04-21,2009-04-23T17:18:35.000Z,,4,,,,5814,0,0,xslF345X03/edgar.xml,PRIMARY DOCUMENT
0000035527-09-000025,2009-04-23,2009-04-21,2009-04-23T17:17:47.000Z,,4,,,,8250,0,0,xslF345X03/edgar.xml,PRIMARY DOCUMENT
0000035527-09-000024,2009-04-23,2009-04-21,2009-04-23T17:17:10.000Z,,4,,,,11972,0,0,xslF345X03/edgar.xml,PRIMARY DOCUMENT
0000035527-09-000023,2009-04-23,2009-04-21,2009-04-23T17:16:22.000Z,,4,,,,9103,0,0,xslF345X03/edgar.xml,PRIMARY DOCUMENT
0000950152-09-004062,2009-04-23,,2009-04-23T14:56:09.000Z,,SC 13D/A,,,,103381,0,0,l36216asc13dza.htm,FORM SC 13D/A
0001193125-09-085095,2009-04-23,2009-04-23,2009-04-23T06:30:43.000Z,34,8-K,001-33653,09765049,"2.02,7.01,9.01",3941240,0,0,d8k.htm,CURRENT REPORT
0001193125-09-083472,2009-04-21,2009-04-21,2009-04-21T15:55:14.000Z,34,8-K,001-33653,09761662,"7.01,9.01",799589,0,0,d8k.htm,CURRENT REPORT
0001193125-09-080289,2009-04-16,,2009-04-16T08:56:58.000Z,34,DEFA14A,001-33653,09752718,,37262,0,0,ddefa14a.htm,DEFINITIVE ADDITIONAL MATERIALS
0000035527-09-000022,2009-04-10,2009-04-09,2009-04-10T17:43:09.000Z,,4,,,,5591,0,0,xslF345X03/edgar.xml,PRIMARY DOCUMENT
0000035527-09-000021,2009-04-10,2009-04-09,2009-04-10T17:42:15.000Z,,4,,,,6310,0,0,xslF345X03/edgar.xml,PRIMARY DOCUMENT
0000035527-09-000020,2009-04-10,2009-04-09,2009-04-10T17:41:07.000Z,,4,,,,5468,0,0,xslF345X03/edgar.xml,PRIMARY DOCUMENT
0000035527-09-000019,2009-04-10,2009-04-09,2009-04-10T17:40:12.000Z,,4,,,,9313,0,0,xslF345X03/edgar.xml,PRIMARY DOCUMENT
0000035527-09-000018,2009-04-10,2009-04-09,2009-04-10T17:39:19.000Z,,4,,,,5678,0,0,xslF345X03/edgar.xml,PRIMARY DOCUMENT
0000035527-09-000017,2009-04-10,2009-04-09,2009-04-10T17:37:47.000Z,,4,,,,6282,0,0,xslF345X03/edgar.xml,PRIMARY DOCUMENT
0000035527-09-000016,2009-04-10,2009-04-09,2009-04-10T17:36:44.000Z,,4,,,,5488,0,0,xslF345X03/edgar.xml,PRIMARY DOCUMENT
0000035527-09-000015,2009-04-10,2009-04-09,2009-04-10T17:35:53.000Z,,4,,,,8040,0,0,xslF345X03/edgar.xml,PRIMARY DOCUMENT
0000035527-09-000014,2009-04-09,2009-04-08,2009-04-09T16:36:51.000Z,,4,,,,6283,0,0,xslF345X03/edgar.xml,PRIMARY DOCUMENT
0000035527-09-000013,2009-04-09,2009-04-08,2009-04-09T16:35:49.000Z,,4,,,,5592,0,0,xslF345X03/edgar.xml,PRIMARY DOCUMENT
0000035527-09-000012,2009-04-09,2009-04-08,2009-04-09T16:34:41.000Z,,4,,,,5593,0,0,xslF345X03/edgar.xml,PRIMARY DOCUMENT
0000035527-09-000011,2009-04-08,2009-04-07,2009-04-08T16:06:15.000Z,,4,,,,5593,0,0,xslF345X03/edgar.xml,PRIMARY DOCUMENT
0001193125-09-066782,2009-03-30,2009-03-27,2009-03-30T06:14:42.000Z,34,8-K,001-33653,09712210,"1.01,7.01,9.01",1847348,0,0,d8k.htm,CURRENT REPORT
9999999997-09-014800,2009-03-16,2008-12-31,2009-04-01T15:37:55.000Z,34,ARS,001-33653,09037315,,1634,0,0,9999999997-09-014800.paper,AUTO-GENERATED PAPER DOCUMENT
0001193125-09-049351,2009-03-10,,2009-03-10T10:59:10.000Z,34,DEFA14A,001-33653,09668164,,40688,0,0,ddefa14a.htm,DEFINITIVE ADDITIONAL MATERIALS
0001193125-09-049341,2009-03-10,2009-04-21,2009-03-10T10:53:18.000Z,34,DEF 14A,001-33653,09668147,,970635,0,0,ddef14a.htm,DEFINITIVE PROXY STATEMENT
0001193125-09-045607,2009-03-05,,2009-03-05T10:49:39.000Z,33,S-3ASR,333-157703,09657680,,325878,0,0,ds3asr.htm,FORM S-3 REGISTRATION STATEMENT
0001193125-09-044934,2009-03-04,,2009-03-04T16:50:02.000Z,33,S-8,333-157687,09656092,,72260,0,0,ds8.htm,FORM S-8 REGISTRATION STATEMENT
0001193125-09-042550,2009-03-02,2008-12-31,2009-03-02T16:14:08.000Z,34,10-K,001-33653,09647598,,3395085,0,0,d10k.htm,FORM 10-K
0001193125-09-041102,2009-02-27,2009-04-21,2009-02-27T16:49:59.000Z,34,PRE 14A,001-33653,09643797,,969177,0,0,dpre14a.htm,PRELIMINARY PROXY STATEMENT
0000950152-09-001627,2009-02-20,2008-12-31,2009-02-20T15:39:34.000Z,34,13F-HR/A,028-03158,09625054,,1155326,0,0,l35602ae13fvhrza.txt,FORM 13F-HR/A
0000950152-09-001500,2009-02-17,,2009-02-17T16:03:53.000Z,,SC 13G/A,,,,75099,0,0,l35523asc13gza.htm,FORM SC 13G/A
0000950152-09-001492,2009-02-17,,2009-02-17T15:10:16.000Z,,SC 13G/A,,,,63308,0,0,l35523bsc13gza.htm,FORM SC 13G/A
0000950152-09-001491,2009-02-17,,2009-02-17T15:01:17.000Z,,SC 13G/A,,,,61348,0,0,l35533asc13gza.htm,FORM SC 13G/A
0000950152-09-001481,2009-02-17,2008-12-31,2009-02-17T13:33:01.000Z,34,13F-HR,028-03158,09609449,,1119942,0,0,l35475ae13fvhr.txt,FORM 13F-HR
0000888002-09-000411,2009-02-13,,2009-02-13T07:13:35.000Z,34,SC 13G,005-18309,09597815,,19429,0,0,fitb1231_g.txt,
0000906318-09-000016,2009-02-11,,2009-02-11T10:45:16.000Z,34,SC 13G/A,005-18309,09588048,,33934,0,0,cinfin13ga021109.htm,SCHEDULE 13G/A
0000035527-09-000010,2009-02-05,2009-02-03,2009-02-05T16:36:44.000Z,,4,,,,5659,0,0,xslF345X03/edgar.xml,PRIMARY DOCUMENT
0000035527-09-000009,2009-02-05,2009-02-03,2009-02-05T16:36:07.000Z,,4,,,,5662,0,0,xslF345X03/edgar.xml,PRIMARY DOCUMENT
0000035527-09-000008,2009-02-05,2009-02-03,2009-02-05T16:35:36.000Z,,4,,,,7257,0,0,xslF345X03/edgar.xml,PRIMARY DOCUMENT
0000035527-09-000007,2009-02-05,2009-02-03,2009-02-05T16:34:57.000Z,,4,,,,5587,0,0,xslF345X03/edgar.xml,PRIMARY DOCUMENT
0000035527-09-000006,2009-02-05,2009-02-03,2009-02-05T16:34:22.000Z,,4,,,,5614,0,0,xslF345X03/edgar.xml,PRIMARY DOCUMENT
0000035527-09-000005,2009-02-05,2009-02-03,2009-02-05T16:33:39.000Z,,4,,,,9381,0,0,xslF345X03/edgar.xml,PRIMARY DOCUMENT
0000035527-09-000004,2009-02-05,2009-02-03,2009-02-05T16:32:44.000Z,,4,,,,5854,0,0,xslF345X03/edgar.xml,PRIMARY DOCUMENT
0000035527-09-000003,2009-02-05,2009-02-03,2009-02-05T16:32:04.000Z,,4,,,,6350,0,0,xslF345X03/edgar.xml,PRIMARY DOCUMENT
0000035527-09-000002,2009-02-05,2009-02-03,2009-02-05T16:30:45.000Z,,4,,,,5645,0,0,xslF345X03/edgar.xml,PRIMARY DOCUMENT
0001193125-09-012605,2009-01-28,2009-01-28,2009-01-28T08:39:48.000Z,34,8-K,001-33653,09549760,"7.01,9.01",995226,0,0,d8k.htm,CURRENT REPORT
