accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0001415889-24-003390,2024-02-12,2024-02-08,2024-02-12T17:05:40.000Z,,4,,,,5118,0,0,xslF345X05/form4-02122024_100220.xml,
0001415889-24-003387,2024-02-12,2024-02-08,2024-02-12T17:04:24.000Z,,3,,,,7896,0,0,xslF345X02/form3-02122024_100215.xml,
0001415889-24-003386,2024-02-12,2024-02-08,2024-02-12T17:02:23.000Z,,4,,,,5124,0,0,xslF345X05/form4-02122024_100209.xml,
0001415889-24-003385,2024-02-12,2024-02-08,2024-02-12T17:01:30.000Z,,3,,,,7908,0,0,xslF345X02/form3-02122024_100221.xml,
0001415889-24-003169,2024-02-09,2024-02-07,2024-02-09T16:07:22.000Z,,4,,,,6948,0,0,xslF345X05/form4-02092024_090204.xml,
0001415889-24-003168,2024-02-09,2024-02-07,2024-02-09T16:06:28.000Z,,4,,,,6966,0,0,xslF345X05/form4-02092024_090217.xml,
0001415889-24-003165,2024-02-09,2024-02-07,2024-02-09T16:05:19.000Z,,4,,,,7065,0,0,xslF345X05/form4-02092024_090204.xml,
0001959173-24-000831,2024-02-09,,2024-02-09T09:43:01.000Z,33,144,001-34774,24611985,,4449,0,0,xsl144X01/primary_doc.xml,
0001104659-24-012659,2024-02-09,2024-02-05,2024-02-09T09:15:11.000Z,34,8-K,001-34774,24611726,"5.02,9.01",204500,1,1,tm245567d1_8k.htm,FORM 8-K
0001558370-24-000699,2024-02-02,2024-02-02,2024-02-02T07:30:31.000Z,34,8-K,001-34774,24588807,"2.02,9.01",1671290,1,1,cboe-20240202x8k.htm,8-K
0001086364-24-002378,2024-01-24,,2024-01-24T14:28:20.000Z,34,SC 13G/A,005-85558,24555948,,13896,0,0,us12503m1080_012424.txt,
0001415889-23-016477,2023-12-14,2023-12-12,2023-12-14T16:36:25.000Z,,4,,,,5743,0,0,xslF345X05/form4-12142023_091220.xml,
0001965301-23-000178,2023-12-14,,2023-12-14T14:48:21.000Z,33,144,001-34774,231486738,,9538,0,0,xsl144X01/primary_doc.xml,
0001965301-23-000173,2023-12-08,,2023-12-08T16:21:34.000Z,33,144,001-34774,231475689,,7844,0,0,xsl144X01/primary_doc.xml,
0001415889-23-015844,2023-12-05,2023-12-01,2023-12-05T16:20:02.000Z,,4,,,,4900,0,0,xslF345X05/form4-12052023_091256.xml,
0001959173-23-005099,2023-12-01,,2023-12-01T11:42:50.000Z,33,144,001-34774,231458133,,6185,0,0,xsl144X01/primary_doc.xml,
0001415889-23-015540,2023-11-28,2023-11-24,2023-11-28T16:10:24.000Z,,4,,,,5114,0,0,xslF345X05/form4-11282023_091106.xml,
0001965301-23-000168,2023-11-28,,2023-11-28T14:21:36.000Z,33,144,001-34774,231444775,,8619,0,0,xsl144X01/primary_doc.xml,
0001965301-23-000165,2023-11-27,,2023-11-27T15:05:05.000Z,33,144,001-34774,231439920,,8026,0,0,xsl144X01/primary_doc.xml,
0001959173-23-004969,2023-11-24,,2023-11-24T11:01:47.000Z,33,144,001-34774,231435463,,4808,0,0,xsl144X01/primary_doc.xml,
0001965301-23-000161,2023-11-22,,2023-11-22T10:23:39.000Z,33,144,001-34774,231430534,,7930,0,0,xsl144X01/primary_doc.xml,
0001415889-23-015346,2023-11-21,2023-11-19,2023-11-21T16:11:26.000Z,,4,,,,7754,0,0,xslF345X05/form4-11212023_091117.xml,
0001415889-23-015345,2023-11-21,2023-11-19,2023-11-21T16:10:07.000Z,,4,,,,5535,0,0,xslF345X05/form4-11212023_091154.xml,
0001415889-23-015344,2023-11-21,2023-11-19,2023-11-21T16:08:48.000Z,,4,,,,5554,0,0,xslF345X05/form4-11212023_091136.xml,
0001959173-23-004790,2023-11-15,,2023-11-15T16:54:07.000Z,33,144,001-34774,231411274,,5891,0,0,xsl144X01/primary_doc.xml,
0001965301-23-000145,2023-11-14,,2023-11-14T16:14:14.000Z,33,144,001-34774,231406355,,6645,0,0,xsl144X01/primary_doc.xml,
0001965301-23-000144,2023-11-13,,2023-11-13T16:48:43.000Z,33,144,001-34774,231399672,,6324,0,0,xsl144X01/primary_doc.xml,
0001415889-23-015034,2023-11-13,2023-11-08,2023-11-13T16:41:18.000Z,,4,,,,5152,0,0,xslF345X05/form4-11132023_091109.xml,
0001965301-23-000143,2023-11-13,,2023-11-13T14:42:48.000Z,33,144,001-34774,231397868,,5683,0,0,xsl144X01/primary_doc.xml,
0001104659-23-114774,2023-11-06,2023-11-06,2023-11-06T16:30:21.000Z,34,8-K,001-34774,231380359,7.01,191145,1,1,tm2329985d1_8k.htm,FORM 8-K
0001965301-23-000138,2023-11-06,,2023-11-06T15:17:16.000Z,33,144,001-34774,231379627,,6437,0,0,xsl144X01/primary_doc.xml,
0001965301-23-000137,2023-11-03,,2023-11-03T17:21:29.000Z,33,144,001-34774,231377408,,11761,0,0,xsl144X01/primary_doc.xml,
0001415889-23-014736,2023-11-03,2023-10-30,2023-11-03T16:06:05.000Z,,3,,,,12340,0,0,xslF345X02/form3-11032023_081158.xml,
0001558370-23-017503,2023-11-03,2023-09-30,2023-11-03T08:16:17.000Z,34,10-Q,001-34774,231374550,,22514751,1,1,cboe-20230930x10q.htm,10-Q
0001558370-23-017499,2023-11-03,2023-11-03,2023-11-03T07:33:10.000Z,34,8-K,001-34774,231374495,"2.02,9.01",1668372,1,1,cboe-20231103x8k.htm,8-K
0001415889-23-014456,2023-10-20,2023-10-12,2023-10-20T16:03:41.000Z,,3,,,,11730,0,0,xslF345X02/form3-10202023_081035.xml,
0001415889-23-014283,2023-10-16,2023-10-12,2023-10-16T16:36:35.000Z,,4,,,,5582,0,0,xslF345X05/form4-10162023_081029.xml,
0000000000-23-010548,2023-09-25,,2023-09-25T14:30:06.000Z,,UPLOAD,,,,39781,0,0,filename1.pdf,
0001104659-23-101775,2023-09-19,2023-09-18,2023-09-19T08:18:45.000Z,34,8-K,001-34774,231262539,"5.02,8.01,9.01",376087,1,1,tm2326345d1_8k.htm,FORM 8-K
0001558370-23-015715,2023-09-13,,2023-09-13T17:01:26.000Z,,CORRESP,,,,69384,0,0,filename1.htm,
0001415889-23-013021,2023-09-06,2023-09-01,2023-09-06T16:36:11.000Z,,4,,,,4882,0,0,xslF345X05/form4-09062023_080904.xml,
0001959173-23-003657,2023-09-01,,2023-09-01T12:31:47.000Z,33,144,001-34774,231231607,,6188,0,0,xsl144X01/primary_doc.xml,
0000000000-23-009584,2023-08-30,,2023-08-30T14:30:07.000Z,,UPLOAD,,,,46001,0,0,filename1.pdf,
0001415889-23-012486,2023-08-22,2023-08-19,2023-08-22T16:34:54.000Z,,4,,,,5556,0,0,xslF345X05/form4-08222023_080845.xml,
0001415889-23-012436,2023-08-21,2023-08-17,2023-08-21T16:35:11.000Z,,4,,,,4796,0,0,xslF345X05/form4-08212023_080803.xml,
0001558370-23-015106,2023-08-18,2023-08-15,2023-08-18T16:30:23.000Z,34,8-K,001-34774,231186219,"5.02,9.01",587467,1,1,cboe-20230815x8k.htm,8-K
0001959173-23-003329,2023-08-17,,2023-08-17T11:27:22.000Z,33,144,001-34774,231180538,,7067,0,0,xsl144X01/primary_doc.xml,
0001558370-23-015040,2023-08-16,,2023-08-16T17:00:08.000Z,,CORRESP,,,,48039,0,0,filename1.htm,
0001415889-23-012038,2023-08-10,2023-08-08,2023-08-10T16:30:16.000Z,,4,,,,4567,0,0,xslF345X05/form4-08102023_080807.xml,
0001959173-23-003020,2023-08-08,,2023-08-08T13:40:33.000Z,33,144,001-34774,231150393,,5891,0,0,xsl144X01/primary_doc.xml,
0001558370-23-013313,2023-08-04,2023-06-30,2023-08-04T08:16:03.000Z,34,10-Q,001-34774,231142255,,22117044,1,1,cboe-20230630x10q.htm,10-Q
0001558370-23-013302,2023-08-04,2023-08-04,2023-08-04T07:30:31.000Z,34,8-K,001-34774,231142161,"2.02,9.01",1651607,1,1,cboe-20230804x8k.htm,8-K
0000000000-23-008345,2023-08-03,,2023-08-03T11:30:06.000Z,,UPLOAD,,,,46936,0,0,filename1.pdf,
0001415889-23-011052,2023-07-12,2023-07-10,2023-07-12T16:43:51.000Z,,4,,,,7340,0,0,xslF345X04/form4-07122023_080745.xml,
0001965301-23-000065,2023-07-10,,2023-07-10T17:04:35.000Z,33,144,001-34774,231080463,,4969,0,0,xsl144X01/primary_doc.xml,
0001104659-23-078772,2023-07-06,2023-07-01,2023-07-06T16:43:21.000Z,34,8-K,001-34774,231074130,"5.02,9.01",239605,1,1,tm2320729d1_8k.htm,FORM 8-K
0001104659-23-078169,2023-07-05,2023-06-29,2023-07-05T16:44:17.000Z,34,8-K,001-34774,231069938,"1.01,2.03,9.01",3417187,1,1,tm2320400d1_8k.htm,FORM 8-K
0001415889-23-009832,2023-06-15,2023-06-13,2023-06-15T16:32:44.000Z,,4,,,,4676,0,0,xslF345X04/form4-06152023_080635.xml,
0001415889-23-009830,2023-06-15,2023-06-13,2023-06-15T16:31:05.000Z,,4,,,,7513,0,0,xslF345X04/form4-06152023_080656.xml,
0001965301-23-000047,2023-06-13,,2023-06-13T17:12:14.000Z,33,144,001-34774,231012109,,4399,0,0,xsl144X01/primary_doc.xml,
0001415889-23-009746,2023-06-13,2023-06-09,2023-06-13T16:32:17.000Z,,4,,,,6550,0,0,xslF345X04/form4-06132023_080605.xml,
0001959173-23-001750,2023-06-09,,2023-06-09T13:11:06.000Z,33,144,001-34774,231004645,,4808,0,0,xsl144X01/primary_doc.xml,
0001415889-23-009372,2023-06-07,2023-06-05,2023-06-07T16:55:59.000Z,,4,,,,5349,0,0,xslF345X04/form4-06072023_080650.xml,
0001959173-23-001537,2023-06-05,,2023-06-05T13:01:48.000Z,33,144,001-34774,23991804,,5574,0,0,xsl144X01/primary_doc.xml,
0001415889-23-008866,2023-05-26,2023-05-24,2023-05-26T16:43:35.000Z,,4,,,,6264,0,0,xslF345X04/form4-05262023_080557.xml,
0001959173-23-001301,2023-05-24,,2023-05-24T09:04:10.000Z,33,144,001-34774,23950732,,8098,0,0,xsl144X01/primary_doc.xml,
0001415889-23-008109,2023-05-16,2023-05-13,2023-05-16T16:33:43.000Z,,4,,,,8470,0,0,xslF345X04/form4-05162023_080533.xml,
