accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0000028412-22-000037,2022-01-27,2022-01-25,2022-01-27T16:19:48.000Z,,4,,,,14754,0,0,xslF345X03/wf-form4_164331837314483.xml,FORM 4
0000028412-22-000035,2022-01-27,2022-01-25,2022-01-27T16:18:13.000Z,,4,,,,17285,0,0,xslF345X03/wf-form4_164331827665116.xml,FORM 4
0000028412-22-000033,2022-01-27,2022-01-25,2022-01-27T16:16:32.000Z,,4,,,,18669,0,0,xslF345X03/wf-form4_164331816586131.xml,FORM 4
0000028412-22-000031,2022-01-25,2022-01-21,2022-01-25T18:27:29.000Z,,4,,,,5734,0,0,xslF345X03/wf-form4_164315323439647.xml,FORM 4
0000028412-22-000029,2022-01-25,2022-01-22,2022-01-25T18:25:36.000Z,,4,,,,14365,0,0,xslF345X03/wf-form4_164315312187451.xml,FORM 4
0000028412-22-000027,2022-01-25,2022-01-22,2022-01-25T18:23:44.000Z,,4,,,,19630,0,0,xslF345X03/wf-form4_164315301007145.xml,FORM 4
0000028412-22-000025,2022-01-25,2022-01-22,2022-01-25T18:21:57.000Z,,4,,,,15725,0,0,xslF345X03/wf-form4_164315290109312.xml,FORM 4
0000028412-22-000023,2022-01-25,2022-01-22,2022-01-25T18:20:00.000Z,,4,,,,17007,0,0,xslF345X03/wf-form4_164315277521001.xml,FORM 4
0000028412-22-000021,2022-01-25,2022-01-22,2022-01-25T18:18:07.000Z,,4,,,,14361,0,0,xslF345X03/wf-form4_164315267156465.xml,FORM 4
0000028412-22-000019,2022-01-25,2022-01-22,2022-01-25T18:16:36.000Z,,4,,,,15694,0,0,xslF345X03/wf-form4_164315258107477.xml,FORM 4
0000028412-22-000017,2022-01-25,2022-01-22,2022-01-25T18:14:57.000Z,,4,,,,19758,0,0,xslF345X03/wf-form4_164315248293269.xml,FORM 4
0000028412-22-000015,2022-01-25,2022-01-22,2022-01-25T18:12:00.000Z,,4,,,,18205,0,0,xslF345X03/wf-form4_164315230400257.xml,FORM 4
0000028412-22-000013,2022-01-25,2022-01-22,2022-01-25T18:10:20.000Z,,4,,,,14475,0,0,xslF345X03/wf-form4_164315220472799.xml,FORM 4
0000028412-22-000011,2022-01-25,2022-01-22,2022-01-25T18:08:40.000Z,,4,,,,18256,0,0,xslF345X03/wf-form4_164315210327739.xml,FORM 4
0000028412-22-000009,2022-01-25,2022-01-22,2022-01-25T18:06:34.000Z,,4,,,,17008,0,0,xslF345X03/wf-form4_164315197780707.xml,FORM 4
0000028412-22-000007,2022-01-25,2022-01-22,2022-01-25T18:04:13.000Z,,4,,,,14640,0,0,xslF345X03/wf-form4_164315183204216.xml,FORM 4
0000028412-22-000005,2022-01-19,2022-01-19,2022-01-19T07:51:19.000Z,34,8-K,001-10706,22536806,"2.02,7.01,9.01",5191164,1,1,cma-20220119.htm,8-K
0000028412-22-000002,2022-01-04,2022-01-01,2022-01-04T16:19:04.000Z,,3,,,,6918,0,0,xslF345X02/wf-form3_164133112387943.xml,FORM 3
0000028412-21-000187,2021-12-06,2021-12-06,2021-12-06T16:19:54.000Z,34,8-K,001-10706,211473431,"7.01,9.01",5267017,1,1,cma-20211206.htm,8-K
0000028412-21-000185,2021-11-29,2021-11-24,2021-11-29T16:16:01.000Z,,4,,,,20879,0,0,xslF345X03/wf-form4_163822054328239.xml,FORM 4
0000028412-21-000183,2021-11-16,2021-11-12,2021-11-16T16:24:24.000Z,,4,,,,14725,0,0,xslF345X03/wf-form4_163709764940084.xml,FORM 4
0000028412-21-000181,2021-11-15,2021-11-05,2021-11-15T16:28:14.000Z,,3,,,,14277,0,0,xslF345X02/wf-form3_163701166287769.xml,FORM 3
0000028412-21-000179,2021-11-02,2021-11-02,2021-11-02T16:47:16.000Z,34,8-K,001-10706,211372125,"5.02,9.01",597108,1,1,cma-20211102.htm,8-K
0000028412-21-000177,2021-10-29,2021-09-30,2021-10-29T16:50:17.000Z,34,10-Q,001-10706,211363926,,24018705,1,1,cma-20210930.htm,10-Q
0000028412-21-000176,2021-10-29,2021-10-28,2021-10-29T16:24:38.000Z,,4,,,,14732,0,0,xslF345X03/wf-form4_163553905145316.xml,FORM 4
0000028412-21-000174,2021-10-29,2021-10-27,2021-10-29T16:19:31.000Z,,4,,,,34321,0,0,xslF345X03/wf-form4_163553873892509.xml,FORM 4
0000028412-21-000171,2021-10-27,2021-10-25,2021-10-27T16:15:40.000Z,,4,,,,22146,0,0,xslF345X03/wf-form4_163536572599813.xml,FORM 4
0000028412-21-000169,2021-10-26,2021-10-22,2021-10-26T16:18:12.000Z,,4,,,,30079,0,0,xslF345X03/wf-form4_163527947241785.xml,FORM 4
0000028412-21-000167,2021-10-26,2021-10-22,2021-10-26T16:16:25.000Z,,4,,,,8998,0,0,xslF345X03/wf-form4_163527935933699.xml,FORM 4
0000028412-21-000165,2021-10-20,2021-10-20,2021-10-20T08:51:52.000Z,34,8-K/A,001-10706,211332830,"2.02,7.01,9.01",3524025,1,1,cma-20211020.htm,8-K/A
0000028412-21-000163,2021-10-20,2021-10-20,2021-10-20T06:34:01.000Z,34,8-K,001-10706,211332701,"2.02,7.01,9.01",5151715,1,1,cma-20211020.htm,8-K
0000028412-21-000158,2021-10-19,2021-10-15,2021-10-19T16:18:40.000Z,,4,,,,15224,0,0,xslF345X03/wf-form4_163467470757190.xml,FORM 4
0000028412-21-000156,2021-10-19,2021-10-15,2021-10-19T16:16:10.000Z,,4,,,,16611,0,0,xslF345X03/wf-form4_163467454919341.xml,FORM 4
0000028412-21-000154,2021-09-10,2021-09-10,2021-09-10T16:21:09.000Z,34,8-K,001-10706,211247296,"7.01,9.01",4793691,1,1,cma-20210910.htm,8-K
0000028412-21-000152,2021-08-17,2021-08-13,2021-08-17T16:17:14.000Z,,4,,,,18545,0,0,xslF345X03/wf-form4_162923141193665.xml,FORM 4
0000028412-21-000150,2021-07-29,2021-07-27,2021-07-29T17:10:23.000Z,,4,,,,5825,0,0,xslF345X03/wf-form4_162759293573881.xml,FORM 4
0000028412-21-000148,2021-07-29,2021-07-27,2021-07-29T17:07:58.000Z,,4,,,,5184,0,0,xslF345X03/wf-form4_162759283343039.xml,FORM 4
0000028412-21-000146,2021-07-29,2021-07-27,2021-07-29T17:04:40.000Z,,4,,,,5876,0,0,xslF345X03/wf-form4_162759262021332.xml,FORM 4
0000028412-21-000144,2021-07-29,2021-07-27,2021-07-29T17:01:14.000Z,,4,,,,6795,0,0,xslF345X03/wf-form4_162759240354024.xml,FORM 4
