accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0001633917-20-000115,2020-05-22,2020-05-21,2020-05-22T18:33:26.000Z,,4,,,,5120,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001633917-20-000114,2020-05-22,2020-05-21,2020-05-22T18:33:09.000Z,,4,,,,5057,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001633917-20-000113,2020-05-22,2020-05-21,2020-05-22T18:32:51.000Z,,4,,,,4873,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001633917-20-000112,2020-05-22,2020-05-21,2020-05-22T18:32:33.000Z,,4,,,,5094,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001633917-20-000111,2020-05-22,2020-05-21,2020-05-22T18:32:14.000Z,,4,,,,4892,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001633917-20-000110,2020-05-22,2020-05-21,2020-05-22T18:31:57.000Z,,4,,,,4873,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001193125-20-150106,2020-05-22,,2020-05-22T16:18:08.000Z,33,S-3,333-238615,20906121,,212040,0,0,d857981ds3.htm,S-3
0001633917-20-000099,2020-05-20,2020-05-19,2020-05-20T17:57:20.000Z,,4,,,,11055,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001633917-20-000097,2020-05-18,2020-05-15,2020-05-18T18:29:04.000Z,,4,,,,9453,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001193125-20-145106,2020-05-18,2020-05-18,2020-05-18T16:45:40.000Z,34,8-K,001-36859,20890284,"1.01,9.01",720668,1,1,d912137d8k.htm,8-K
0001193125-20-140482,2020-05-12,,2020-05-12T16:31:52.000Z,33,424B2,333-233776,20869524,,563532,0,0,d909625d424b2.htm,424B2
0001193125-20-140434,2020-05-12,2020-05-11,2020-05-12T16:15:54.000Z,34,8-K,001-36859,20869302,"1.01,9.01",352873,1,1,d913787d8k.htm,8-K
0001193125-20-139293,2020-05-11,,2020-05-11T17:28:32.000Z,34,FWP,333-233776,20866182,,33068,0,0,d929783dfwp.htm,FWP
0001193125-20-138385,2020-05-11,,2020-05-11T09:10:47.000Z,33,424B2,333-233776,20862878,,543498,0,0,d909625d424b2.htm,424B2
0001633917-20-000093,2020-05-07,2020-03-31,2020-05-06T19:34:38.000Z,34,10-Q,001-36859,20854107,,19488639,1,1,pyplq1202010-q.htm,10-Q
0001633917-20-000095,2020-05-06,2020-05-04,2020-05-06T20:07:35.000Z,,4,,,,9450,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001633917-20-000091,2020-05-06,2020-05-06,2020-05-06T16:32:30.000Z,34,8-K,001-36859,20853091,"2.02,9.01",4077264,1,1,pypl8-kq12020.htm,8-K
0001633917-20-000085,2020-04-17,2020-04-15,2020-04-17T17:06:42.000Z,,4,,,,11949,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001633917-20-000083,2020-04-09,2020-04-09,2020-04-09T16:19:15.000Z,34,8-K,001-36859,20784725,"2.02,7.01",223562,1,1,a8-kq12020nongaaprecla.htm,8-K
0001193125-20-101353,2020-04-08,,2020-04-08T16:18:03.000Z,34,DEFA14A,001-36859,20782160,,463512,0,0,d840447ddefa14a.htm,DEFINITIVE ADDITIONAL MATERIALS
0001193125-20-101351,2020-04-08,2020-05-21,2020-04-08T16:15:52.000Z,34,DEF 14A,001-36859,20782142,,18362811,0,0,d856632ddef14a.htm,DEF 14A
0001633917-20-000079,2020-03-31,2020-03-25,2020-03-31T16:25:04.000Z,34,8-K,001-36859,20762082,5.02,176132,1,1,pypl8-kwc.htm,8-K
0001633917-20-000077,2020-03-19,2020-03-17,2020-03-19T17:56:39.000Z,,4,,,,18953,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001633917-20-000075,2020-03-05,2020-03-03,2020-03-05T19:25:03.000Z,,4,,,,10854,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001633917-20-000073,2020-03-04,2020-03-02,2020-03-04T18:18:51.000Z,,4,,,,4249,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001633917-20-000072,2020-03-04,2020-03-02,2020-03-04T18:18:38.000Z,,3,,,,10287,0,0,xslF345X02/edgardoc.xml,PRIMARY DOCUMENT
0001633917-20-000068,2020-03-03,2020-03-01,2020-03-03T18:29:41.000Z,,4,,,,20676,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001633917-20-000067,2020-03-03,2020-03-01,2020-03-03T18:29:31.000Z,,4,,,,22208,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001633917-20-000066,2020-03-03,2020-03-01,2020-03-03T18:29:19.000Z,,4,,,,28554,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001633917-20-000065,2020-03-03,2020-03-01,2020-03-03T18:29:04.000Z,,4,,,,20667,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001633917-20-000064,2020-03-03,2020-03-01,2020-03-03T18:28:52.000Z,,4,,,,5626,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001633917-20-000063,2020-03-03,2020-03-01,2020-03-03T18:28:40.000Z,,4,,,,18646,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001633917-20-000062,2020-03-03,2020-03-01,2020-03-03T18:28:28.000Z,,4,,,,20683,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001633917-20-000061,2020-03-03,2020-03-01,2020-03-03T18:28:15.000Z,,4,,,,27374,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001633917-20-000052,2020-02-20,2020-02-19,2020-02-20T18:52:52.000Z,,4,,,,4509,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001633917-20-000051,2020-02-20,2020-02-19,2020-02-20T18:52:39.000Z,,4,,,,4505,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001633917-20-000050,2020-02-20,2020-02-19,2020-02-20T18:52:26.000Z,,4,,,,6291,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001633917-20-000046,2020-02-19,2020-02-15,2020-02-19T18:45:58.000Z,,4,,,,6261,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001633917-20-000045,2020-02-19,2020-02-15,2020-02-19T18:45:45.000Z,,4,,,,6263,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001633917-20-000044,2020-02-19,2020-02-15,2020-02-19T18:45:35.000Z,,4,,,,7818,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001633917-20-000043,2020-02-19,2020-02-15,2020-02-19T18:45:20.000Z,,4,,,,6258,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001633917-20-000042,2020-02-19,2020-02-15,2020-02-19T18:45:04.000Z,,4,,,,11931,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001633917-20-000041,2020-02-19,2020-02-15,2020-02-19T18:44:53.000Z,,4,,,,6251,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001633917-20-000040,2020-02-19,2020-02-15,2020-02-19T18:44:38.000Z,,4,,,,6276,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001633917-20-000039,2020-02-19,2020-02-15,2020-02-19T18:44:22.000Z,,4,,,,6259,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001104659-20-018363,2020-02-12,,2020-02-12T09:26:54.000Z,34,SC 13G/A,005-89275,20600617,,13625,0,0,tv01658-paypalholdingsinc.htm,SCHEDULE 13G/A
0001633917-20-000030,2020-02-10,2020-02-07,2020-02-10T20:33:12.000Z,,4,,,,6273,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0000315066-20-001185,2020-02-07,,2020-02-07T11:28:23.000Z,34,SC 13G/A,005-89275,20585893,,8272,0,0,filing.txt,
0001633917-20-000028,2020-02-06,2019-12-31,2020-02-06T16:28:40.000Z,34,10-K,001-36859,20583059,,19869693,1,1,pypl201910-k.htm,10-K
