accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0001193125-14-050847,2014-02-13,,2014-02-13T15:26:33.000Z,,SC 13G/A,,,,53168,0,0,d673507dsc13ga.htm,SC 13G/A
0001193125-14-050842,2014-02-13,,2014-02-13T15:25:00.000Z,,SC 13G/A,,,,52940,0,0,d673492dsc13ga.htm,SC 13G/A
0001193125-14-050838,2014-02-13,,2014-02-13T15:24:04.000Z,,SC 13G/A,,,,56605,0,0,d673484dsc13ga.htm,SC 13G/A
0001193125-14-050833,2014-02-13,,2014-02-13T15:23:00.000Z,,SC 13G/A,,,,52600,0,0,d673483dsc13ga.htm,SC 13G/A
0001193125-14-050830,2014-02-13,,2014-02-13T15:22:04.000Z,,SC 13G/A,,,,56612,0,0,d673472dsc13ga.htm,SC 13G/A
0001193125-14-050818,2014-02-13,,2014-02-13T15:18:56.000Z,,SC 13G/A,,,,56784,0,0,d673459dsc13ga.htm,SC 13G/A
0001193125-14-050814,2014-02-13,,2014-02-13T15:17:33.000Z,,SC 13G/A,,,,55889,0,0,d673445dsc13ga.htm,SC 13G/A
0001193125-14-050807,2014-02-13,,2014-02-13T15:15:57.000Z,,SC 13G/A,,,,56519,0,0,d673414dsc13ga.htm,SC 13G/A
0001193125-14-050802,2014-02-13,,2014-02-13T15:14:05.000Z,,SC 13G/A,,,,56623,0,0,d673370dsc13ga.htm,SC 13G/A
0001193125-14-050799,2014-02-13,,2014-02-13T15:12:58.000Z,,SC 13G/A,,,,56535,0,0,d673360dsc13ga.htm,SC 13G/A
0001193125-14-050795,2014-02-13,,2014-02-13T15:11:33.000Z,,SC 13G/A,,,,52377,0,0,d673337dsc13ga.htm,SC 13G/A
0001193125-14-050778,2014-02-13,,2014-02-13T15:09:57.000Z,,SC 13G/A,,,,56705,0,0,d673322dsc13ga.htm,SC 13G/A
0001179110-14-002538,2014-02-11,2014-02-07,2014-02-11T18:37:35.000Z,,4,,,,13337,0,0,xslF345X03/edgar.xml,FORM 4 -
0001179110-14-002536,2014-02-11,2014-02-07,2014-02-11T18:33:58.000Z,,4,,,,13418,0,0,xslF345X03/edgar.xml,FORM 4 -
0001179110-14-002534,2014-02-11,2014-02-07,2014-02-11T18:31:57.000Z,,4,,,,21695,0,0,xslF345X03/edgar.xml,FORM 4 -
0001179110-14-002533,2014-02-11,2014-02-07,2014-02-11T18:31:27.000Z,,4,,,,13460,0,0,xslF345X03/edgar.xml,FORM 4 -
0001179110-14-002530,2014-02-11,2014-02-07,2014-02-11T18:29:21.000Z,,4,,,,15399,0,0,xslF345X03/edgar.xml,FORM 4 -
0001179110-14-002528,2014-02-11,2014-02-07,2014-02-11T18:25:02.000Z,,4,,,,14183,0,0,xslF345X03/edgar.xml,FORM 4 -
0001179110-14-002526,2014-02-11,2014-02-07,2014-02-11T18:23:21.000Z,,4,,,,13322,0,0,xslF345X03/edgar.xml,FORM 4 -
0001179110-14-002525,2014-02-11,2014-02-07,2014-02-11T18:21:19.000Z,,4,,,,8549,0,0,xslF345X03/edgar.xml,FORM 4 -
0001179110-14-002522,2014-02-11,2014-02-07,2014-02-11T18:19:00.000Z,,4,,,,12076,0,0,xslF345X03/edgar.xml,FORM 4 -
0001179110-14-002521,2014-02-11,2014-02-07,2014-02-11T18:18:41.000Z,,4,,,,13492,0,0,xslF345X03/edgar.xml,FORM 4 -
0001179110-14-002518,2014-02-11,2014-02-07,2014-02-11T18:15:00.000Z,,4,,,,12117,0,0,xslF345X03/edgar.xml,FORM 4 -
