accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0000092230-07-000002,2007-01-04,2006-12-31,2007-01-04T13:24:26.000Z,34,13F-HR,028-03501,07508258,,180098,0,0,trust13f4q06.txt,
0001092787-06-000203,2006-12-22,2006-12-08,2006-12-22T15:32:21.000Z,,4,,,,23452,0,0,xslF345X02/wil649.xml,
0001092787-06-000202,2006-12-22,2006-12-08,2006-12-22T15:31:33.000Z,,4,,,,21425,0,0,xslF345X02/bro651.xml,
0001092787-06-000201,2006-12-22,2006-12-08,2006-12-22T15:30:26.000Z,,4,,,,23383,0,0,xslF345X02/kin667.xml,
0001092787-06-000200,2006-12-22,2006-12-08,2006-12-22T15:29:32.000Z,,4,,,,19115,0,0,xslF345X02/gre666.xml,
0001092787-06-000199,2006-12-22,2006-12-08,2006-12-22T15:28:34.000Z,,4,,,,9865,0,0,xslF345X02/cab652.xml,
0001092787-06-000198,2006-12-22,2006-12-08,2006-12-22T15:27:34.000Z,,4,,,,19075,0,0,xslF345X02/hel665.xml,
0001092787-06-000197,2006-12-21,2006-12-08,2006-12-21T16:18:53.000Z,,4,,,,20577,0,0,xslF345X02/duc662.xml,
0001092787-06-000196,2006-12-21,2006-12-08,2006-12-21T16:09:24.000Z,,4,,,,19755,0,0,xslF345X02/ves653.xml,
0001092787-06-000195,2006-12-21,2006-12-12,2006-12-21T16:03:08.000Z,,4,,,,21070,0,0,xslF345X02/cha654.xml,
0001092787-06-000193,2006-12-21,2006-12-08,2006-12-21T15:57:04.000Z,,4,,,,24865,0,0,xslF345X02/wig650.xml,
0001092787-06-000192,2006-12-21,2006-12-08,2006-12-21T15:41:22.000Z,,4,,,,25048,0,0,xslF345X02/hen668.xml,
0001092787-06-000180,2006-12-21,2006-12-08,2006-12-21T10:02:21.000Z,,4,,,,13139,0,0,xslF345X02/oli656.xml,
0000092230-06-000102,2006-12-21,2006-12-20,2006-12-21T07:33:39.000Z,34,8-K,001-10853,061291438,"7.01,9.01",754708,0,0,cfcp8k.htm,
0001092787-06-000178,2006-12-20,2006-06-02,2006-12-20T08:59:18.000Z,,4,,,,37486,0,0,xslF345X02/qub655.xml,
0001092787-06-000175,2006-12-19,2006-10-25,2006-12-19T17:11:19.000Z,,4,,,,34282,0,0,xslF345X02/may663.xml,
0001092787-06-000173,2006-12-19,2006-06-02,2006-12-19T17:02:10.000Z,,4,,,,22360,0,0,xslF345X02/chi658.xml,
0001092787-06-000171,2006-12-19,2006-10-06,2006-12-19T16:54:29.000Z,,4,,,,33616,0,0,xslF345X02/mcc659.xml,
0001092787-06-000168,2006-12-19,2006-10-03,2006-12-19T16:34:23.000Z,,4,,,,33323,0,0,xslF345X02/dea661.xml,
0001092787-06-000166,2006-12-19,2006-11-28,2006-12-19T15:47:44.000Z,,4,,,,18388,0,0,xslF345X02/mor657.xml,
0001092787-06-000165,2006-12-19,2006-06-02,2006-12-19T15:37:32.000Z,,4,,,,31968,0,0,xslF345X02/hac664.xml,
0000092230-06-000100,2006-12-18,2006-12-12,2006-12-18T16:25:03.000Z,34,8-K,001-10853,061283674,"5.02,5.03,8.01,9.01",429406,0,0,newexec8k.htm,
0001092787-06-000156,2006-12-18,2006-12-08,2006-12-18T11:28:38.000Z,,4,,,,20239,0,0,xslF345X02/all648.xml,
0000092230-06-000097,2006-12-01,2006-11-30,2006-12-01T12:22:19.000Z,34,8-K,001-10853,061250244,8.01,27042,0,0,mrlc8k.htm,
0000092230-06-000094,2006-11-02,2006-09-30,2006-11-02T16:30:37.000Z,34,10-Q,001-10853,061183083,,1845938,0,0,q3200610q.htm,
0001092787-06-000154,2006-10-27,2006-10-25,2006-10-27T16:27:14.000Z,,4,,,,41327,0,0,xslF345X02/all647.xml,
0000092230-06-000092,2006-10-27,2006-10-24,2006-10-27T15:16:53.000Z,34,8-K,001-10853,061168705,1.01,28379,0,0,board8k.htm,
0000000000-06-052023,2006-10-25,,2006-10-25T16:02:07.000Z,,UPLOAD,,,,5267,0,0,filename1.txt,
0000000000-06-052017,2006-10-25,,2006-10-25T15:56:55.000Z,,UPLOAD,,,,5473,0,0,filename1.txt,
0000000000-06-052013,2006-10-25,,2006-10-25T15:50:57.000Z,,UPLOAD,,,,8977,0,0,filename1.txt,
0000092230-06-000090,2006-10-19,2006-09-30,2006-10-19T10:48:17.000Z,34,8-K,001-10853,061152313,"2.02,9.01",1009472,0,0,pr3q06.htm,
0001092787-06-000152,2006-10-10,2006-06-02,2006-10-10T16:49:07.000Z,,4,,,,24729,0,0,xslF345X02/mor646.xml,
0001092787-06-000150,2006-10-06,2006-08-15,2006-10-06T16:36:09.000Z,,4,,,,15123,0,0,xslF345X02/sas645.xml,
0001092787-06-000149,2006-10-06,2006-07-27,2006-10-06T16:35:29.000Z,,4,,,,23342,0,0,xslF345X02/cha643.xml,
0000092230-06-000084,2006-10-04,2006-09-30,2006-10-04T12:58:18.000Z,34,13F-HR,028-03501,061127505,,187071,0,0,trustf13f3q06.txt,
0000092230-06-000082,2006-09-19,2006-09-15,2006-09-19T12:09:50.000Z,34,8-K,001-10853,061097377,"8.01,9.01",29468,0,0,banks8k.htm,
0000092230-06-000080,2006-09-13,2006-09-13,2006-09-13T16:57:23.000Z,34,8-K,001-10853,061088953,8.01,24086,0,0,note8k0906.htm,
0000092230-06-000071,2006-08-04,2006-06-30,2006-08-04T12:33:06.000Z,34,10-Q,001-10853,061004840,,1839338,0,0,q1200610q.htm,
0001092787-06-000137,2006-08-01,2006-07-28,2006-08-01T16:21:54.000Z,,4,,,,22185,0,0,xslF345X02/ves642.xml,
0001092787-06-000135,2006-07-31,2006-07-27,2006-07-31T16:30:38.000Z,,4,,,,23384,0,0,xslF345X02/bro641.xml,
0001092787-06-000132,2006-07-28,2006-07-26,2006-07-28T15:04:21.000Z,,4,,,,25314,0,0,xslF345X02/gre640.xml,
0000092230-06-000069,2006-07-20,2006-06-30,2006-07-20T10:45:06.000Z,34,8-K,001-10853,06970830,"2.02,9.01",1045653,0,0,pr2q06.htm,
0000092230-06-000063,2006-07-10,2006-06-30,2006-07-10T12:17:39.000Z,34,13F-HR,028-03501,06953026,,179026,0,0,trust13f2q06.txt,
0000092230-06-000061,2006-06-28,2006-06-22,2006-06-28T11:48:18.000Z,34,8-K,001-10853,06928989,"1.01,8.01,9.01",44114,0,0,stock8k.htm,
0000092230-06-000060,2006-06-23,2005-12-31,2006-06-23T11:35:28.000Z,34,11-K,001-10853,06921306,,185286,0,0,a11k2006.htm,
0001092787-06-000130,2006-06-22,2006-06-20,2006-06-22T16:38:47.000Z,,4,,,,33817,0,0,xslF345X02/may638.xml,
0001092787-06-000128,2006-06-19,2006-06-16,2006-06-19T16:38:49.000Z,,4,,,,32889,0,0,xslF345X02/mcc637.xml,
0001193125-06-131324,2006-06-16,,2006-06-16T16:41:47.000Z,33,424B3,333-133572,06910775,,1220106,0,0,d424b3.htm,FORM 424B3
9999999995-06-000330,2006-06-14,,2006-06-15T00:15:16.000Z,33,EFFECT,333-133572,06906036,"S-4,",2095,0,0,xslEFFECTX01/primary_doc.xml,
0001193125-06-128424,2006-06-13,,2006-06-12T20:38:48.000Z,33,S-4/A,333-133572,06901097,,1359732,0,0,ds4a.htm,BB&T
