accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0001096906-24-000623,2024-03-27,,2024-03-27T17:09:04.000Z,34,PX14A6G,001-34034,24791772,,46262,0,0,insp_px14a6g.htm,"INSPIRE INVESTING, LLC - PX14A6G"
0001096906-24-000586,2024-03-27,,2024-03-26T17:40:39.000Z,34,PX14A6G,001-34034,24784966,,70265,0,0,bowy_px14a6g.htm,BOWYER RESEARCH - PX14A6G
0001225208-24-003531,2024-03-05,2024-03-01,2024-03-05T12:45:09.000Z,,4,,,,5223,0,0,xslF345X05/doc4.xml,
0001225208-24-003530,2024-03-05,2024-03-01,2024-03-05T11:54:25.000Z,,3,,,,9133,0,0,xslF345X02/doc3.xml,
0001281761-24-000016,2024-03-04,2024-04-17,2024-03-04T17:29:55.000Z,34,DEF 14A,001-34034,24716294,,64743932,1,1,rf-20240304.htm,DEF 14A
0001281761-24-000017,2024-03-04,,2024-03-04T17:29:49.000Z,34,DEFA14A,001-34034,24716288,,1415434,0,0,sch14adefaddmaterials-prox.htm,DEFA14A
0001281761-24-000015,2024-03-04,2023-12-31,2024-03-04T17:27:03.000Z,34,ARS,001-34034,24716173,,29242031,0,0,rf20231231annualreport.pdf,ARS
0001281761-24-000010,2024-02-23,2023-12-31,2024-02-23T16:55:16.000Z,34,10-K,001-34034,24672276,,36056146,1,1,rf-20231231.htm,10-K
0001193125-24-036364,2024-02-14,2024-02-14,2024-02-14T16:36:10.000Z,34,8-K,001-34034,24639345,"5.02,7.01,9.01",244186,1,1,d690133d8k.htm,8-K
0001104659-24-021819,2024-02-13,,2024-02-13T17:13:53.000Z,34,SC 13G/A,005-83626,24629414,,13124,0,0,tv01802-regionsfinancialcorp.htm,SCHEDULE 13G/A
0000902219-24-000049,2024-02-08,,2024-02-08T10:11:31.000Z,34,SC 13G,005-83626,24607262,,37291,0,0,SEC13G_Filing.htm,SEC SCHEDULE 13G
0001281761-24-000006,2024-02-06,2024-02-06,2024-02-06T16:31:06.000Z,34,8-K,001-34034,24600735,"7.01,9.01",16160667,1,1,rf-20240206.htm,8-K
0001281761-24-000004,2024-02-06,2023-12-31,2024-02-06T09:28:51.000Z,34,13F-HR,028-10938,24598340,,863518,0,0,xslForm13F_X02/primary_doc.xml,
0000093751-24-000478,2024-01-30,,2024-01-30T15:39:11.000Z,34,SC 13G/A,005-83626,24577929,,8767,0,0,Regions_Financial.txt,
0001086364-24-002269,2024-01-24,,2024-01-24T14:27:13.000Z,34,SC 13G/A,005-83626,24555834,,13973,0,0,us7591ep1005_012424.txt,
0001281761-24-000003,2024-01-19,2024-01-19,2024-01-19T06:02:50.000Z,34,8-K,001-34034,24543633,"2.02,7.01,9.01",11768663,1,1,rf-20240119.htm,8-K
0001225208-24-000999,2024-01-17,2024-01-12,2024-01-17T18:12:19.000Z,,4,,,,5877,0,0,xslF345X05/doc4.xml,
0001225208-24-000998,2024-01-17,2024-01-12,2024-01-17T18:12:17.000Z,,4,,,,5893,0,0,xslF345X05/doc4.xml,
0001225208-24-000997,2024-01-17,2024-01-12,2024-01-17T18:12:07.000Z,,4,,,,5980,0,0,xslF345X05/doc4.xml,
0001225208-24-000996,2024-01-17,2024-01-12,2024-01-17T18:12:01.000Z,,4,,,,5887,0,0,xslF345X05/doc4.xml,
0001225208-24-000995,2024-01-17,2024-01-12,2024-01-17T18:11:55.000Z,,4,,,,5882,0,0,xslF345X05/doc4.xml,
0001225208-24-000994,2024-01-17,2024-01-12,2024-01-17T18:11:50.000Z,,4,,,,5890,0,0,xslF345X05/doc4.xml,
0001225208-24-000406,2024-01-04,2024-01-02,2024-01-04T18:12:44.000Z,,4,,,,5464,0,0,xslF345X05/doc4.xml,
0001225208-24-000405,2024-01-04,2024-01-01,2024-01-04T18:12:42.000Z,,3,,,,7192,0,0,xslF345X02/doc3.xml,
0001225208-23-010968,2023-12-12,2023-12-08,2023-12-12T16:19:57.000Z,,4,,,,11112,0,0,xslF345X05/doc4.xml,
0001958244-23-002806,2023-12-08,,2023-12-08T17:18:06.000Z,33,144,001-34034,231476348,,4983,0,0,xsl144X01/primary_doc.xml,
0001281761-23-000057,2023-11-07,2023-09-30,2023-11-07T12:30:10.000Z,34,10-Q,001-34034,231382619,,25550180,1,1,rf-20230930.htm,10-Q
0001281761-23-000051,2023-11-01,2023-09-30,2023-11-01T15:04:48.000Z,34,13F-HR,028-10938,231367828,,845686,0,0,xslForm13F_X02/primary_doc.xml,
0001281761-23-000050,2023-10-31,2023-10-31,2023-10-31T16:23:04.000Z,34,8-K,001-34034,231364824,"7.01,9.01",15996445,1,1,rf-20231031.htm,8-K
0001281761-23-000048,2023-10-20,2023-10-20,2023-10-20T06:02:09.000Z,34,8-K,001-34034,231335900,"2.02,7.01,9.01",10915667,1,1,rf-20231020.htm,8-K
0001193125-23-258601,2023-10-18,2023-10-18,2023-10-18T17:09:05.000Z,34,8-K,001-34034,231332780,"5.03,9.01",390273,1,1,d550552d8k.htm,FORM 8-K
0001225208-23-009553,2023-10-17,2023-10-13,2023-10-17T17:31:31.000Z,,4,,,,5818,0,0,xslF345X05/doc4.xml,
0001225208-23-009554,2023-10-17,2023-10-13,2023-10-17T17:31:30.000Z,,4,,,,5802,0,0,xslF345X05/doc4.xml,
0001225208-23-009552,2023-10-17,2023-10-13,2023-10-17T17:31:29.000Z,,4,,,,5905,0,0,xslF345X05/doc4.xml,
0001225208-23-009551,2023-10-17,2023-10-13,2023-10-17T17:31:26.000Z,,4,,,,5812,0,0,xslF345X05/doc4.xml,
0001225208-23-009550,2023-10-17,2023-10-13,2023-10-17T17:31:23.000Z,,4,,,,5807,0,0,xslF345X05/doc4.xml,
0001225208-23-009549,2023-10-17,2023-10-13,2023-10-17T17:31:20.000Z,,4,,,,5815,0,0,xslF345X05/doc4.xml,
0001225208-23-009313,2023-10-04,2023-10-02,2023-10-04T16:12:22.000Z,,4,,,,5112,0,0,xslF345X05/doc4.xml,
0001225208-23-009311,2023-10-04,2023-10-01,2023-10-04T16:10:18.000Z,,3,,,,7594,0,0,xslF345X02/doc3.xml,
0001193125-23-239619,2023-09-21,2023-09-21,2023-09-21T16:30:42.000Z,34,8-K,001-34034,231269451,"5.02,7.01,9.01",241448,1,1,d555818d8k.htm,8-K
0001225208-23-008174,2023-08-09,2023-08-07,2023-08-09T18:58:16.000Z,,4,,,,11534,0,0,xslF345X05/doc4.xml,
0001281761-23-000046,2023-08-09,2023-06-30,2023-08-09T15:36:39.000Z,34,13F-HR,028-10938,231154872,,857926,0,0,xslForm13F_X02/primary_doc.xml,
0001281761-23-000045,2023-08-08,2023-06-30,2023-08-08T14:05:24.000Z,34,10-Q,001-34034,231150465,,25187501,1,1,rf-20230630.htm,10-Q
0001281761-23-000041,2023-08-04,2023-08-04,2023-08-04T16:31:12.000Z,34,8-K,001-34034,231144478,"7.01,9.01",15728042,1,1,rf-20230804.htm,8-K
0001281761-23-000039,2023-07-21,2023-07-21,2023-07-21T06:07:55.000Z,34,8-K,001-34034,231101033,"2.02,7.01,9.01",10109024,1,1,rf-20230721.htm,8-K
0001193125-23-189658,2023-07-19,2023-07-19,2023-07-19T16:43:35.000Z,34,8-K,001-34034,231097143,"5.02,8.01,9.01",234606,1,1,d511771d8k.htm,8-K
0001225208-23-007553,2023-07-18,2023-07-14,2023-07-18T15:05:38.000Z,,4,,,,10007,0,0,xslF345X05/doc4.xml,
0001225208-23-007552,2023-07-18,2023-07-14,2023-07-18T15:05:37.000Z,,4,,,,10049,0,0,xslF345X05/doc4.xml,
0001225208-23-007551,2023-07-18,2023-07-14,2023-07-18T15:05:34.000Z,,4,,,,10123,0,0,xslF345X05/doc4.xml,
0001225208-23-007550,2023-07-18,2023-07-14,2023-07-18T15:05:32.000Z,,4,,,,10031,0,0,xslF345X05/doc4.xml,
0001225208-23-007549,2023-07-18,2023-07-14,2023-07-18T15:05:29.000Z,,4,,,,10012,0,0,xslF345X05/doc4.xml,
0001225208-23-007548,2023-07-18,2023-07-14,2023-07-18T15:05:27.000Z,,4,,,,10038,0,0,xslF345X05/doc4.xml,
0001225208-23-007303,2023-07-05,2023-07-01,2023-07-05T18:50:57.000Z,,4,,,,14061,0,0,xslF345X04/doc4.xml,
0001281761-23-000035,2023-06-23,2022-12-31,2023-06-23T16:08:05.000Z,34,11-K,001-34034,231037743,,425746,0,0,a11k12312022.htm,11-K
0001225208-23-006099,2023-05-19,2023-05-17,2023-05-19T15:02:57.000Z,,4,,,,4713,0,0,xslF345X04/doc4.xml,
0001209191-23-030788,2023-05-18,2022-07-01,2023-05-18T18:18:00.000Z,,3/A,,,,5407,0,0,xslF345X02/doc3a.xml,FORM 3/A SUBMISSION
0001281761-23-000033,2023-05-12,2023-03-31,2023-05-12T09:49:46.000Z,34,13F-HR,028-10938,23913616,,885306,0,0,xslForm13F_X02/primary_doc.xml,
0001281761-23-000032,2023-05-05,2023-03-31,2023-05-05T11:25:18.000Z,34,10-Q,001-34034,23892081,,24109918,1,1,rf-20230331.htm,10-Q
0001281761-23-000029,2023-05-01,2023-05-01,2023-05-01T07:27:36.000Z,34,8-K,001-34034,23870000,"7.01,9.01",15638825,1,1,rf-20230501.htm,8-K
0001225208-23-005022,2023-04-25,2023-04-24,2023-04-25T17:55:56.000Z,,4,,,,5379,0,0,xslF345X04/doc4.xml,
0001225208-23-005021,2023-04-25,2023-04-24,2023-04-25T17:55:54.000Z,,4,,,,5311,0,0,xslF345X04/doc4.xml,
0001225208-23-005020,2023-04-25,2023-04-24,2023-04-25T17:55:51.000Z,,4,,,,5108,0,0,xslF345X04/doc4.xml,
